dataset,Dyna.-Pla,,Dyna.-S2 seg,,BEN-MM,PASTIS-MM,PASTIS-HD classif,,,,FLAIR,,,Dyna.-MM,OSCD,Dyna.-S2 CD,,LEVIR-CD,fMoW-S2,,BEN-S2,,,RESISC-45,,,,,,,RSD46,,,AID,,,,,PatternNet,,,FAIR1M,DIOR-R,DIOR,Potsdam,,,,,,,iSAID,UCMerced,,,,,,,,RSSCN7,Vaihingen,,,,DGLCC,,,DLRSD,,,LEVIR-OD,,,,LEVIR_CS Cloud,LEVIR_CS Snow,MLRSNet,BigEarthNet 19cls,fMoW-RGB single,,NAIP LC,GeoImageNet,So2Sat,fMoW temporal,,xView OD,SpaceNet BD,SpaceNet2 SR,,EuroSat,,,,,NaSC-TG2,,,Onera CD,Sen12MS,DOTA-V1.0,,,,DOTA-V2.0,LoveDA,HRCS2016,CDD,GID,NWPUVHR-10,UCAS-AOD,HRSC2016,CaiRoad,,CalFire,,DSFIN,WHU Aerial,Inria,SpaceNet2 Shanghai,SpaceNet2 Vegas,SpaceNet2 Paris,SpaceNet2 Khartoum,Canadian Cropland,DFC2020,DW-Expert,MARIDA,GeoNRW RGB,,GeoNRW RGB-DEM,,Sen1Floods11,HLSBurnScars Prithvi,SegMunich,SVCD/CDD,m-bigearthnet,,m-forestnet,m-brick-kiln,m-pv4ger,m-so2sat,m-cashew-plantation,m-SA-crop-type,TreeSatAI,,,,TreeSatAI-TS,,,,m-eurosat,Landslide4sense,,Sen4Map land cover,,,Sen4Map crop type,,
SSL4EO,"35,3","42,1","42,7","31,8",,,,,,,,,,,"35,08","12,3","17,5","89,05",,"51,7","91,8","87,1",,,,"87,6",,"53,37","68,46",77,"25,37","37,96","45,4","94,74","91,06","66,65","76,75","81,1","56,6","64,64","74,59","49,37","61,23","64,82",,,"91,54",,"47,18","48,61","59,95","64,01",,,,,,"51,43","65,9","79,71",,,,,,"34,5","38,55","45,18","9,86","22,38","42,66",,"7,6","9,8","17,5",,,,,,,,,,,,,,,,,,"78,17","89,26","91,74","81,67","90,47","94,6",,,,"2,3",7,"16,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-NWPU-DOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,49","78,34",,,,,"58,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-BigEarthNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,49","79,56",,,,,"58,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-ImageNet 200k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,31","78,63",,,,,"58,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASSL MoCov2-TP,,,,,,,,,,,,,,,"46,26",,,,,,"86,11","80,2",,,"93,06",,,,,,,,,,,,,,,,,,"65,65","67,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,34","71,55","57,1",,,"70,11","74,42","17,65","78,48",,,"89,51",,,,,,,,"40,12",,,,,,,"48,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASSL MoCov2-TP+Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,56","70,6","57,63",,,"69,56","72,76","17,74","78,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,6",,,,"42,4",79,"21,1",,,,,,,,,,,,,,,,,
GASSL MoCov2,,,,,,,,,,,,,,,"40,71",,,,,,"86,05","80,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,61","64,34","55,18","38,51",,"63,96","68,64","15,45","78,05",,,"83,72",,,,,,,,"40,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASSL MoCoV2-Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,6","69,04","58,23","39,96",,"66,93","70,48","15,63","78,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeCo,,"48,18","39,8","29,4",,,,,,,,,,,"49,82","13,9",16,"90,14",,"51,65","87,81","82,82","63,6",88,"92,91","89,64",82,"38,35","55,89","63,87","20,39","30,21","38,34","95,99","93,47",50,"61,55","68,55","41,76","55,46","63,87",,,,"85,82",,"89,03","89,64","48,21","50,24","59,73","57,2",,,"97,1",,"97,86","34,1","46,29","72,19",,,"90,14","78,59","87,72","37,89","36,76","46,4","8,72","23,27","43,77",,"0,9","0,9",0,,,,,,"61,4",,,,,"66,8","17,2","77,09",,,"97,34",92,"62,02","78,78","82,15","55,95","65,5","77,55","46,94",81,"70,02",0,0,"0,8",,"43,63","88,9","96,26",,,,,"39,63","34,72","62,87","51,87","53,27","86,7",,,,,,,,,,,,,,,,"45,9",,,"59,6",,,,"45,2","77,5","22,7",,,,,,,,,,,,,,,,,
DINO-MM,,,,,"87,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
